date;model;lma;aa;lb
2026-02-06;gemini-3-pro;1486.0;48.0;73.39
2026-02-06;grok-4-1-thinking;1475.0;;
2026-02-06;gemini-3-flash;1470.0;46.0;72.4
2026-02-06;claude-opus-4-6-thinking;1496.0;53.0;76.33
2026-02-06;claude-opus-4-5-thinking;1468.0;50.0;75.96
2026-02-06;gpt-5.2;1438.0;51.0;74.84
2026-02-06;gpt-5-1;1458.0;48.0;72.04
2026-02-06;gemini-2-5-pro;1450.0;34.0;58.33
2026-02-06;claude-sonnet-4-5-thinking;1450.0;43.0;68.19
2026-02-06;claude-opus-4-1;1449.0;32.0;61.81
2026-02-06;gpt-5-high;1434.0;45.0;70.48
2026-02-06;o3-2025-04-16;1433.0;41.0;
2026-02-06;glm-4-6;1425.0;33.0;55.19
2026-02-06;qwen3-max;1425.0;29.0;52.97
2026-02-06;kimi-k2-thinking;1428.0;41.0;61.59
2026-02-06;deepseek-v3-2-exp-thinking;;;
2026-02-06;grok-4-1-fast;1430.0;39.0;59.99
2026-02-06;deepseek-v3-1-terminus;;;
2026-02-06;deepseek-v3-1-terminus-thinking;;;
2026-02-06;deepseek-v3-2-exp;;;
2026-02-06;mistral-medium-2508;;;
2026-02-06;magistral-medium;1305.0;27.0;
2026-02-06;grok-4;;;
2026-02-06;gemini-2-5-flash;1410.0;31.0;53.09
2026-02-06;claude-haiku-4-5;1404.0;37.0;61.32
2026-02-06;gpt-5-mini;1390.0;41.0;65.91
2026-02-06;glm-4-5-air;;;
2026-02-06;gpt-oss;1354.0;33.0;46.09
2026-02-06;nemotron-ultra-v1;1347.0;20.0;
2026-02-06;gpt-5-nano;1338.0;27.0;48.62
2026-02-06;llama-3-1-405b-instruct-bf16;;;
2026-02-06;llama-4-maverick-17b-128e-instruct;;;
2026-02-06;nemotron-super-v1-5;1341.0;19.0;
2026-02-06;nemotron-3-nano;1317.0;24.0;
2026-02-06;minimax-m2;;;
2026-02-06;ernie-5.0;1452.0;29.0;
2026-02-06;kimi-k2.5-thinking;1449.0;47.0;69.07
2026-02-12;gemini-3-flash;1473.0;46.0;72.4
2026-02-12;claude-opus-4-6-thinking;1506.0;53.0;76.33
2026-02-12;claude-opus-4-5-thinking;1471.0;50.0;75.96
2026-02-12;gpt-5.2;1436.0;51.0;74.84
2026-02-12;gpt-5-1;1457.0;48.0;72.04
2026-02-12;gemini-2-5-pro;1449.0;34.0;58.33
2026-02-12;gpt-5-high;1435.0;45.0;70.48
2026-02-12;glm-5;1452.0;50.0;68.85
2026-02-12;glm-4-7;1441.0;42.0;58.09
2026-02-12;kimi-k2-thinking;1429.0;41.0;61.59
2026-02-12;deepseek-v3-2-exp-thinking;1420.0;42.0;62.2
2026-02-12;grok-4-1-fast;1431.0;39.0;59.99
2026-02-12;gemini-2-5-flash;1411.0;31.0;53.09
2026-02-12;gpt-5-mini;1391.0;41.0;65.91
2026-02-12;nemotron-ultra-v1;1347.0;15.0;
2026-02-12;ernie-5.0;1451.0;29.0;
2026-02-12;kimi-k2.5-thinking;1447.0;47.0;69.07
2026-03-06;gemini-3-1-pro;1500.0;57.0;79.93
2026-03-06;gemini-3-pro;1485.0;48.0;73.39
2026-03-06;gemini-2-5-pro;1449.0;35.0;58.33
2026-03-06;claude-opus-4-6-thinking;1500.0;53.0;76.33
2026-03-06;claude-sonnet-4-6-thinking;1459.0;52.0;75.47
2026-03-06;claude-opus-4-1;1448.0;32.0;61.81
2026-03-06;claude-haiku-4-5;1406.0;37.0;61.32
2026-03-06;gpt-5.4;1480.0;57.0;80.28
2026-03-06;gpt-5.2;1443.0;51.0;74.84
2026-03-06;gpt-5-1;1455.0;48.0;72.04
2026-03-06;gpt-5-high;1434.0;45.0;70.48
2026-03-06;o3-2025-04-16;1432.0;41.0;
2026-03-06;gpt-5-mini;1390.0;41.0;65.91
2026-03-06;gpt-5-nano;1337.0;27.0;48.62
2026-03-06;glm-5;1453.0;50.0;68.85
2026-03-06;qwen3-5;1451.0;45.0;
2026-03-06;qwen3-max;1425.0;30.0;52.97
2026-03-06;deepseek-v3-2-exp-thinking;1419.0;42.0;62.2
2026-03-06;grok-4-1-thinking;1473.0;;
2026-03-06;grok-4-1-fast;1430.0;39.0;59.99
2026-03-06;minimax-m2-5;1401.0;42.0;60.14
2026-03-06;kimi-k2-5-thinking;1450.0;47.0;69.07
2026-03-19;gemini-3-1-pro;1494.0;57.0;79.93
2026-03-19;gemini-3-pro;1487.0;48.0;73.39
2026-03-19;gemini-3-flash;1475.0;46.0;72.4
2026-03-19;claude-opus-4-6-thinking;1502.0;53.0;76.33
2026-03-19;claude-sonnet-4-6-thinking;1464.0;52.0;75.47
2026-03-19;claude-opus-4-5-thinking;1474.0;50.0;75.96
2026-03-19;claude-sonnet-4-5-thinking;1452.0;43.0;68.19
2026-03-19;claude-opus-4-1;1448.0;42.0;61.81
2026-03-19;claude-haiku-4-5;1407.0;37.0;61.32
2026-03-19;gpt-5.4;1486.0;57.0;80.28
2026-03-19;gpt-5.2;1441.0;51.0;74.84
